Exercise ID,Title (RU),Instructions (RU),Tips (RU),Equipment (RU),Calories (RU),Category (RU),Difficulty (RU),Duration (RU)
1,"Интервальный бег","Начните с 5-минутной разминки легким бегом | Выполните 30 секунд быстрого бега (80-90% от максимальной скорости) | Перейдите на 30 секунд медленного бега для восстановления | Повторите цикл 20-25 раз | Завершите 5-минутной заминкой","Следите за дыханием - дышите глубоко и ритмично | Не превышайте 90% от максимальной скорости | При усталости можно увеличить время восстановления | Выполняйте 2-3 раза в неделю","Беговая дорожка или стадион","250-350 ккал за тренировку","Выносливость","Средний","10-15 мин"
10,"Статическая растяжка мышц ног","Растяжка квадрицепсов: встаньте на одну ногу, согните другую назад | Растяжка икр: сделайте выпад вперед, держа заднюю ногу прямой | Растяжка приводящих мышц: сядьте, разведите ноги в стороны | Удерживайте каждую позицию 30 секунд | Дышите глубоко и расслабляйте мышцы","Не растягивайтесь до боли | Дышите глубоко и медленно | Расслабляйте мышцы во время растяжки | Выполняйте после тренировки","Коврик для упражнений","80-100 ккал за растяжку","Растяжка","Начинающий","10-15 мин"
11,"Растяжка спины и плеч","Встаньте прямо, ноги на ширине плеч | Поднимите правую руку вверх и наклонитесь влево | Задержитесь на 15-20 секунд | Повторите для левой стороны | Выполните 3-5 повторений для каждой стороны","Дышите глубоко во время растяжки | Не делайте резких движений | Чувствуйте растяжение, но не боль | Выполняйте ежедневно для лучшего результата","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
12,"Йога для хоккеистов","Начните в позе горы (тадасана) | Перейдите в позу воина III | Выполните позу дерева | Завершите позой ребенка | Повторите последовательность 3-5 раз","Сосредоточьтесь на дыхании | Двигайтесь медленно и плавно | Не форсируйте позы | Используйте коврик для йоги","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
13,"Лестница координации","Поставьте лестницу координации на пол | Начните с простого шага в каждую ячейку | Постепенно увеличивайте скорость | Добавьте боковые движения | Выполните 3-5 подходов по 2-3 минуты","Начинайте медленно, затем ускоряйтесь | Следите за правильной техникой | Отдыхайте между подходами | Используйте разные варианты движений","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
14,"Жонглирование мячами","Начните с одного мяча | Подбрасывайте мяч одной рукой | Когда освоитесь, добавьте второй мяч | Попробуйте жонглировать двумя мячами | Постепенно добавляйте третий мяч","Начинайте с мягких мячей | Практикуйтесь регулярно | Не расстраивайтесь из-за ошибок | Сосредоточьтесь на ритме","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
15,"Быстрые касания конусов","Расставьте конусы на расстоянии 1-2 метра | Быстро касайтесь каждого конуса рукой | Меняйте направление движения | Увеличивайте скорость постепенно | Выполните 3-5 подходов по 30 секунд","Следите за правильной техникой | Не торопитесь в начале | Отдыхайте между подходами | Используйте разные паттерны движения","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
16,"Гребля на тренажере","Сядьте на тренажер для гребли | Зафиксируйте ноги на подставках | Возьмите рукоятку широким хватом | Начните движение, отталкиваясь ногами | Подтяните рукоятку к груди | Вернитесь в исходное положение | Выполните 3-4 подхода по 5-10 минут","Следите за правильной техникой | Не округляйте спину | Дышите ритмично | Начинайте с легкого веса","Не требуется","100-200 ккал","Баланс","Продвинутый","10-15 мин"
17,"Скакалка с интервалами","Возьмите скакалку подходящей длины | 30 секунд быстрых прыжков на максимальной скорости | 30 секунд медленных прыжков для восстановления | Повторите цикл 20 раз | Завершите 2-минутной заминкой","Держите спину прямой | Работайте запястьями, а не руками | Приземляйтесь на носки | Начинайте с медленного темпа","Скакалка","200-300 ккал за тренировку","Баланс","Продвинутый","10-15 мин"
18,"Бег по лестнице","Найдите лестницу с 20-30 ступенями | Бегите вверх с максимальной скоростью | Спускайтесь шагом для восстановления | Выполните 10-15 подъемов | Отдыхайте 1-2 минуты между подъемами","Используйте всю стопу при подъеме | Держите спину прямой | Работайте руками активно | Не превышайте свои возможности","Лестница","250-350 ккал за тренировку","Скоростная выносливость","Средний","10-15 мин"
19,"Планка с движениями","Примите положение планки на предплечьях | Поднимите правую руку и коснитесь левого плеча | Верните руку в исходное положение | Повторите левой рукой | Добавьте подъемы ног | Выполните 3-4 подхода по 30-60 секунд","Держите тело прямым | Не раскачивайтесь из стороны в сторону | Дышите ровно | Начинайте с простых движений","Не требуется","100-200 ккал","Скоростная выносливость","Средний","10-15 мин"
2,"Берпи с прыжком","Встаньте прямо, ноги на ширине плеч | Присядьте, поставив ладони на пол перед собой | Оттолкнитесь ногами назад, принимая положение планки | Выполните одно отжимание | Подтяните ноги обратно к рукам, оставаясь в приседе | Выпрыгните вверх, поднимая руки над головой | Приземлитесь мягко и повторите","Держите спину прямой на всех этапах | Приземляйтесь на полусогнутые ноги | Начинайте с 5-8 повторений и постепенно увеличивайте | Отдыхайте 60-90 секунд между подходами","Коврик для упражнений (опционально)","200-300 ккал за тренировку","Выносливость","Продвинутый","10-15 мин"
20,"Бег с высоким подниманием колен","Встаньте прямо, ноги на ширине плеч | Начните бег на месте | Поднимайте колени как можно выше | Работайте руками активно | Увеличивайте скорость постепенно | Выполните 3-4 подхода по 30-60 секунд","Приземляйтесь на носки | Держите спину прямой | Работайте руками энергично | Не торопитесь в начале","Не требуется","100-200 ккал","Скоростная выносливость","Средний","10-15 мин"
21,"Прыжки в длину с места","Встаньте прямо, ноги на ширине плеч | Согните ноги в коленях | Оттолкнитесь обеими ногами одновременно | Прыгните как можно дальше вперед | Приземлитесь на обе ноги | Выполните 3-4 подхода по 5-10 прыжков","Приземляйтесь мягко | Сгибайте ноги при приземлении | Работайте руками для баланса | Не торопитесь между прыжками","Не требуется","100-200 ккал","Восстановление","Продвинутый","10-15 мин"
