KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
exercises.items.27.title,Разминка шеи,Rozgrzewka szyi,Uppvärmning av halsen,Zahřívání krku,Zahrievanie krku,Kaulan lämmittely,Riscaldamento del collo,Nackenaufwärmübungen,Échauffement du cou
exercises.items.27.instructions.0,"Встаньте прямо, ноги на ширине плеч","Stań prosto, rozstawiając stopy na szerokość ramion",Stå rakt med fötterna axelbrett isär,Postavte se rovně s nohama na šířku ramen,Postavte sa rovno s nohami na šírku ramien,Seiso suorana jalat hartioiden leveydellä toisistaan,Stai in piedi dritto con i piedi alla larghezza delle spalle,Stehen Sie gerade mit schulterbreit auseinander stehenden Füßen,"Tenez-vous droit, les pieds écartés à la largeur des épaules"
exercises.items.27.instructions.1,Медленно поворачивайте голову влево и вправо,Powoli obracaj głowę w lewo i prawo,Vrid sakta huvudet åt vänster och höger,Pomalu otáčejte hlavou doleva a doprava,Pomaly otočte hlavu doľava a doprava,Käännä päätäsi hitaasti vasemmalle ja oikealle,Gira lentamente la testa a sinistra e a destra,Drehen Sie Ihren Kopf langsam nach links und rechts,Tournez lentement la tête à gauche et à droite
exercises.items.27.instructions.2,Наклоняйте голову вперед и назад,Pochyl głowę do przodu i do tyłu,Luta huvudet framåt och bakåt,Nakloňte hlavu dopředu a dozadu,Nakloňte hlavu dopredu a dozadu,Kallista päätäsi eteenpäin ja taaksepäin,Inclina la testa avanti e indietro,Neigen Sie Ihren Kopf nach vorne und hinten,Penchez la tête en avant et en arrière
exercises.items.27.instructions.3,Выполняйте круговые движения головой,Wykonuj ruchy okrężne głową,Utför cirkulära rörelser med huvudet,Provádějte krouživé pohyby hlavou,Vykonajte kruhové pohyby hlavou,Tee pyöreitä liikkeitä päälläsi,Eseguire movimenti circolari con la testa,Führen Sie kreisende Bewegungen mit dem Kopf aus,Effectuez des mouvements circulaires avec votre tête
exercises.items.27.instructions.4,Держите плечи расслабленными,Rozluźnij ramiona,Håll dina axlar avslappnade,Udržujte ramena uvolněná,Nechajte ramená uvoľnené,Pidä hartiat rentoina,Mantieni le spalle rilassate,Halten Sie Ihre Schultern entspannt,Gardez vos épaules détendues
exercises.items.27.tips.0,Двигайтесь медленно и плавно,Poruszaj się powoli i płynnie,Rör dig långsamt och smidigt,Pohybujte se pomalu a plynule,Pohybujte sa pomaly a plynulo,Liiku hitaasti ja tasaisesti,Muoviti lentamente e senza intoppi,Bewegen Sie sich langsam und gleichmäßig,Déplacez-vous lentement et en douceur
exercises.items.27.tips.1,Не делайте резких движений,Nie wykonuj żadnych gwałtownych ruchów,Gör inga plötsliga rörelser,Nedělejte žádné náhlé pohyby,Nerobte žiadne náhle pohyby,Älä tee äkillisiä liikkeitä,Non fare movimenti bruschi,Machen Sie keine plötzlichen Bewegungen,Ne faites pas de mouvements brusques
exercises.items.27.tips.2,При появлении боли остановитесь,"Jeśli wystąpi ból, przerwij.","Om smärta uppstår, sluta.","Pokud se objeví bolest, přestaňte.","Ak sa objaví bolesť, prestaňte.","Jos kipua ilmenee, lopeta.","Se si avverte dolore, interrompere l'operazione.","Wenn Schmerzen auftreten, hören Sie auf.","Si vous ressentez de la douleur, arrêtez."
exercises.items.27.tips.3,Дышите глубоко и равномерно,Oddychaj głęboko i równomiernie,Andas djupt och jämnt,Dýchejte zhluboka a rovnoměrně,Dýchajte zhlboka a rovnomerne,Hengitä syvään ja tasaisesti,Respira profondamente e in modo uniforme,Atme tief und gleichmäßig,Respirez profondément et régulièrement
,,,,,,,,,
exercises.items.28.title,Разминка запястий,Rozgrzewka nadgarstków,Handledsuppvärmning,Zahřívání zápěstí,Zahrievanie zápästia,Ranteen lämmittely,Riscaldamento del polso,Aufwärmen der Handgelenke,Échauffement du poignet
exercises.items.28.instructions.0,Вытяните руки перед собой,Wyciągnij ramiona przed siebie,Sträck ut armarna framför dig,Natáhněte ruce před sebe,Natiahnite ruky pred seba,Ojenna kätesi edessäsi,Allunga le braccia davanti a te,Strecken Sie Ihre Arme vor sich aus,Tendez vos bras devant vous
exercises.items.28.instructions.1,Согните запястья вверх и вниз,Zegnij nadgarstki w górę i w dół,Böj handlederna upp och ner,Ohněte zápěstí nahoru a dolů,Ohnite zápästia hore a dole,Taivuta ranteita ylös ja alas,Piega i polsi su e giù,Beugen Sie Ihre Handgelenke nach oben und unten,Pliez vos poignets de haut en bas
exercises.items.28.instructions.2,Поворачивайте запястья по кругу,Obróć nadgarstki w kółko,Rotera handlederna i en cirkel,Otočte zápěstí do kruhu,Otočte zápästia do kruhu,Pyöritä ranteitasi ympyrässä,Ruota i polsi in cerchio,Drehen Sie Ihre Handgelenke im Kreis,Faites tourner vos poignets en cercle
exercises.items.28.instructions.3,Сжимайте и разжимайте кулаки,Zaciskaj i rozluźniaj pięści,Knyt och knyt nävarna,Zatínejte a uvolňujte pěsti,Zatínajte a uvoľňujte päste,Purista ja purista nyrkkisi,Stringi e apri i pugni,Ballen und öffnen Sie Ihre Fäuste,Serrez et desserrez vos poings
exercises.items.28.instructions.4,Растягивайте пальцы в стороны,Rozciągnij palce na boki,Sträck fingrarna åt sidorna,Natáhněte prsty do stran,Natiahnite prsty do strán,Venytä sormet sivuille,Allunga le dita ai lati,Strecken Sie Ihre Finger zu den Seiten,Étirez vos doigts sur les côtés
exercises.items.28.tips.0,Выполняйте движения медленно,Wykonuj ruchy powoli,Utför rörelserna långsamt,Pohyby provádějte pomalu,Pohyby vykonávajte pomaly,Tee liikkeet hitaasti,Eseguire i movimenti lentamente,Führen Sie die Bewegungen langsam aus,Effectuez les mouvements lentement
exercises.items.28.tips.1,Не перенапрягайте суставы,Nie przeciążaj stawów,Överansträng inte dina leder,Nepřetěžujte klouby,Nepreťažujte kĺby,Älä ylikuormita niveliäsi,Non sforzare troppo le articolazioni,Überanstrengen Sie Ihre Gelenke nicht,Ne sollicitez pas trop vos articulations
exercises.items.28.tips.2,Следите за ощущениями в запястьях,Zwróć uwagę na odczucia w nadgarstkach,Var uppmärksam på förnimmelserna i dina handleder,Věnujte pozornost pocitům v zápěstích,Venujte pozornosť pocitom vo vašich zápästiach,Kiinnitä huomiota ranteissasi oleviin tuntemuksiin,Presta attenzione alle sensazioni nei tuoi polsi,Achten Sie auf die Empfindungen in Ihren Handgelenken,Faites attention aux sensations dans vos poignets
exercises.items.28.tips.3,Повторяйте регулярно,Powtarzaj regularnie,Upprepa regelbundet,Opakujte pravidelně,Opakujte pravidelne,Toista säännöllisesti,Ripetere regolarmente,Regelmäßig wiederholen,Répéter régulièrement
,,,,,,,,,
exercises.items.29.title,Разминка коленей,Rozciąganie kolan,Knä sträcker sig,Protahuje se koleno,Naťahuje sa kolená,Polvi venyy,allungamenti del ginocchio,Kniedehnungen,Étirements des genoux
exercises.items.29.instructions.0,"Встаньте прямо, ноги на ширине плеч","Stań prosto, rozstawiając stopy na szerokość ramion",Stå rakt med fötterna axelbrett isär,Postavte se rovně s nohama na šířku ramen,Postavte sa rovno s nohami na šírku ramien,Seiso suorana jalat hartioiden leveydellä toisistaan,Stai in piedi dritto con i piedi alla larghezza delle spalle,Stehen Sie gerade mit schulterbreit auseinander stehenden Füßen,"Tenez-vous droit, les pieds écartés à la largeur des épaules"
exercises.items.29.instructions.1,Медленно сгибайте и разгибайте колени,Powoli zegnij i wyprostuj kolana,Böj långsamt och räta ut dina knän,Pomalu pokrčte a narovnejte kolena,Pomaly ohnite a narovnajte kolená,Taivuta ja suorista polvia hitaasti,Piega e raddrizza lentamente le ginocchia,Beugen und strecken Sie langsam Ihre Knie,Pliez et redressez lentement vos genoux
exercises.items.29.instructions.2,Выполняйте круговые движения коленями,Wykonuj ruchy okrężne kolanami,Utför cirkulära rörelser med knäna,Provádějte kruhové pohyby s koleny,Vykonajte kruhové pohyby kolenami,Tee pyöreitä liikkeitä polvillasi,Eseguire movimenti circolari con le ginocchia,Führen Sie kreisende Bewegungen mit den Knien aus,Effectuez des mouvements circulaires avec vos genoux
exercises.items.29.instructions.3,Делайте приседания с небольшой амплитудой,Wykonuj przysiady z małą amplitudą,Gör knäböj med liten amplitud,Dělejte dřepy s malou amplitudou,Robte drepy s malou amplitúdou,Tee kyykkyjä pienellä amplitudilla,Fai squat con una piccola ampiezza,Machen Sie Kniebeugen mit kleiner Amplitude,Faites des squats avec une petite amplitude
exercises.items.29.instructions.4,Растягивайте переднюю поверхность бедра,Rozciągnij przednią część uda,Sträck på framsidan av låret,Protáhněte přední část stehna,Natiahnite prednú časť stehna,Venytä reidesi etuosaa,Allunga la parte anteriore della coscia,Dehnen Sie die Vorderseite Ihres Oberschenkels,Étirez l'avant de votre cuisse
exercises.items.29.tips.0,Не делайте глубоких приседаний,Nie rób głębokich przysiadów,Gör inte djupa knäböj,Nedělejte hluboké dřepy,Nerobte hlboké drepy,Älä tee syviä kyykkyjä,Non fare squat profondi,Machen Sie keine tiefen Kniebeugen,Ne faites pas de squats profonds
exercises.items.29.tips.1,Двигайтесь плавно и контролируемо,Poruszaj się płynnie i kontroluj,Rör dig smidigt och med kontroll,Pohybujte se plynule a pod kontrolou,Pohybujte sa hladko a pod kontrolou,Liikkuu sujuvasti ja hallinnassa,Muoviti con fluidità e controllo,Bewegen Sie sich reibungslos und kontrolliert,Déplacez-vous en douceur et en contrôle
exercises.items.29.tips.2,При боли в коленях уменьшите амплитуду,"Jeśli odczuwasz ból kolana, zmniejsz zakres ruchu.","Om du har knäsmärta, minska rörelseomfånget.","Pokud vás bolí koleno, snižte rozsah pohybu.","Ak máte bolesti kolena, znížte rozsah pohybu.","Jos sinulla on polvikipua, vähennä liikettä.","Se avverti dolore al ginocchio, riduci l'ampiezza del movimento.","Wenn Sie Knieschmerzen haben, reduzieren Sie den Bewegungsumfang.","Si vous avez des douleurs au genou, réduisez l’amplitude des mouvements."
exercises.items.29.tips.3,Следите за правильной техникой,"Upewnij się, że stosujesz właściwą technikę",Se till att du använder rätt teknik,"Ujistěte se, že používáte správnou techniku","Uistite sa, že používate správnu techniku","Varmista, että käytät oikeaa tekniikkaa",Assicurati di utilizzare la tecnica corretta,"Stellen Sie sicher, dass Sie die richtige Technik verwenden",Assurez-vous d'utiliser la bonne technique
,,,,,,,,,
exercises.items.30.title,Разминка тазобедренных суставов,Rozgrzewka bioder,Höftuppvärmning,Zahřátí kyčle,Rozcvička bokov,Lantion lämmittely,Riscaldamento dei fianchi,Aufwärmen der Hüfte,Échauffement des hanches
exercises.items.30.instructions.0,"Встаньте прямо, ноги на ширине плеч","Stań prosto, rozstawiając stopy na szerokość ramion",Stå rakt med fötterna axelbrett isär,Postavte se rovně s nohama na šířku ramen,Postavte sa rovno s nohami na šírku ramien,Seiso suorana jalat hartioiden leveydellä toisistaan,Stai in piedi dritto con i piedi alla larghezza delle spalle,Stehen Sie gerade mit schulterbreit auseinander stehenden Füßen,"Tenez-vous droit, les pieds écartés à la largeur des épaules"
exercises.items.30.instructions.1,Поднимайте колено к груди,Podnieś kolano do klatki piersiowej,Lyft upp ditt knä mot bröstet,Zvedněte koleno k hrudi,Zdvihnite koleno k hrudníku,Nosta polvi rintaasi vasten,Solleva il ginocchio al petto,Heben Sie Ihr Knie zur Brust,Levez votre genou vers votre poitrine
exercises.items.30.instructions.2,Отводите ногу в сторону и назад,Przesuń nogę na bok i do tyłu,Flytta benet åt sidan och bakåt,Posuňte nohu do strany a dozadu,Presuňte nohu do strany a dozadu,Siirrä jalkaasi sivulle ja taakse,Sposta la gamba di lato e indietro,Bewegen Sie Ihr Bein zur Seite und nach hinten,Déplacez votre jambe sur le côté et vers l'arrière
exercises.items.30.instructions.3,Выполняйте круговые движения бедром,Wykonuj ruchy okrężne biodrami,Utför cirkulära rörelser med dina höfter,Provádějte krouživé pohyby boky,Vykonajte krúživé pohyby bokmi,Tee pyöreitä liikkeitä lantiollasi,Esegui movimenti circolari con i fianchi,Führen Sie kreisende Bewegungen mit Ihren Hüften aus,Effectuez des mouvements circulaires avec vos hanches
exercises.items.30.instructions.4,Делайте выпады с небольшой амплитудой,Wykonuj wypady z małą amplitudą,Gör utfall med liten amplitud,Dělejte výpady s malou amplitudou,Robte výpady s malou amplitúdou,Tee syöksyjä pienellä amplitudilla,Eseguire affondi con una piccola ampiezza,Machen Sie Ausfallschritte mit kleiner Amplitude,Faire des fentes avec une petite amplitude
exercises.items.30.tips.0,Держите спину прямой,Trzymaj plecy prosto,Håll ryggen rak,Udržujte záda rovná,Chrbát držte rovno,Pidä selkäsi suorana,Tieni la schiena dritta,Halten Sie Ihren Rücken gerade,Gardez le dos droit
exercises.items.30.tips.1,Работайте в комфортной амплитуде,Pracuj w komfortowym zakresie,Arbeta inom ett bekvämt område,Pracujte v pohodlném dosahu,Pracujte v pohodlnom dosahu,Työskentele mukavalla alueella,Lavorare entro un intervallo confortevole,Arbeiten Sie in einem angenehmen Bereich,Travailler dans une plage confortable
exercises.items.30.tips.2,Не торопитесь с движениями,Nie spiesz się ze swoimi ruchami,Förhasta inte dina rörelser,Neuspěchejte své pohyby,Neponáhľajte svoje pohyby,Älä kiirehdi liikkeitäsi,Non affrettare i tuoi movimenti,Überstürzen Sie Ihre Bewegungen nicht,Ne précipitez pas vos mouvements
exercises.items.30.tips.3,Следите за балансом,Śledź swoje saldo,Håll koll på din balans,Sledujte svou rovnováhu,Sledujte svoju rovnováhu,Seuraa tasapainoasi,Tieni traccia del tuo saldo,Behalten Sie den Überblick über Ihr Guthaben,Suivez votre solde
,,,,,,,,,
exercises.items.31.title,Растяжка паха,Rozciąganie pachwiny,Ljumsken stretch,Protažení třísel,Natiahnutie slabín,Nivus venytys,Allungamento dell'inguine,Leistendehnung,Étirement de l'aine
exercises.items.31.instructions.0,"Сядьте на пол, согните ноги в коленях",Usiądź na podłodze ze zgiętymi kolanami.,Sitt på golvet med böjda knän.,Sedněte si na podlahu s pokrčenými koleny.,Posaďte sa na podlahu s pokrčenými kolenami.,Istu lattialle polvet koukussa.,Sedetevi sul pavimento con le ginocchia piegate.,Setzen Sie sich mit angewinkelten Knien auf den Boden.,Asseyez-vous sur le sol avec les genoux pliés.
exercises.items.31.instructions.1,Соедините подошвы стоп вместе,Złącz ze sobą podeszwy stóp,Placera fotsulorna tillsammans,Položte chodidla k sobě,Položte chodidlá k sebe,Aseta jalkapohjat yhteen,Metti insieme le piante dei piedi,Legen Sie die Fußsohlen zusammen,Placez les plantes de vos pieds ensemble
exercises.items.31.instructions.2,Аккуратно наклонитесь вперед,Delikatnie pochyl się do przodu,Luta dig försiktigt framåt,Jemně se předkloňte,Jemne sa predkloňte,Nojaa kevyesti eteenpäin,Sporgersi delicatamente in avanti,Lehnen Sie sich sanft nach vorne,Penchez-vous doucement en avant
exercises.items.31.instructions.3,Потяните колени к полу,Przyciągnij kolana do podłogi,Dra knäna mot golvet,Přitáhněte kolena k podlaze,Vytiahnite kolená smerom k podlahe,Vedä polviasi lattiaa kohti,Tira le ginocchia verso il pavimento,Ziehe deine Knie Richtung Boden,Tirez vos genoux vers le sol
exercises.items.31.instructions.4,Удерживайте растяжку 30 секунд,Przytrzymaj rozciąganie przez 30 sekund,Håll stretchen i 30 sekunder,Protažení vydržte 30 sekund,Natiahnutie vydržte 30 sekúnd,Pidä venytys 30 sekuntia,Mantieni lo stretching per 30 secondi,Halten Sie die Dehnung 30 Sekunden lang,Maintenez l'étirement pendant 30 secondes
exercises.items.31.tips.0,Не форсируйте растяжку,Nie rozciągaj się na siłę,Tvinga inte sträckningen,Nenatahujte silou,Nepreťahujte nasilu,Älä pakota venytystä,Non forzare lo stretching,Erzwingen Sie die Dehnung nicht,Ne forcez pas l'étirement
exercises.items.31.tips.1,Дышите глубоко и расслабляйтесь,Weź głęboki oddech i zrelaksuj się.,Andas djupt och slappna av.,Zhluboka se nadechněte a uvolněte se.,Zhlboka sa nadýchnite a uvoľnite sa.,Hengitä syvään ja rentoudu.,Respira profondamente e rilassati.,Atmen Sie tief durch und entspannen Sie sich.,Respirez profondément et détendez-vous.
