KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
exercises.items.27.title,"Разминка шеи",=GOOGLETRANSLATE(B2;"ru";"pl"),=GOOGLETRANSLATE(B2;"ru";"sv"),=GOOGLETRANSLATE(B2;"ru";"cs"),=GOOGLETRANSLATE(B2;"ru";"sk"),=GOOGLETRANSLATE(B2;"ru";"fi"),=GOOGLETRANSLATE(B2;"ru";"it"),=GOOGLETRANSLATE(B2;"ru";"de"),=GOOGLETRANSLATE(B2;"ru";"fr")
exercises.items.27.instructions.0,"Встаньте прямо, ноги на ширине плеч",=GOOGLETRANSLATE(B3;"ru";"pl"),=GOOGLETRANSLATE(B3;"ru";"sv"),=GOOGLETRANSLATE(B3;"ru";"cs"),=GOOGLETRANSLATE(B3;"ru";"sk"),=GOOGLETRANSLATE(B3;"ru";"fi"),=GOOGLETRANSLATE(B3;"ru";"it"),=GOOGLETRANSLATE(B3;"ru";"de"),=GOOGLETRANSLATE(B3;"ru";"fr")
exercises.items.27.instructions.1,"Медленно поворачивайте голову влево и вправо",=GOOGLETRANSLATE(B4;"ru";"pl"),=GOOGLETRANSLATE(B4;"ru";"sv"),=GOOGLETRANSLATE(B4;"ru";"cs"),=GOOGLETRANSLATE(B4;"ru";"sk"),=GOOGLETRANSLATE(B4;"ru";"fi"),=GOOGLETRANSLATE(B4;"ru";"it"),=GOOGLETRANSLATE(B4;"ru";"de"),=GOOGLETRANSLATE(B4;"ru";"fr")
exercises.items.27.instructions.2,"Наклоняйте голову вперед и назад",=GOOGLETRANSLATE(B5;"ru";"pl"),=GOOGLETRANSLATE(B5;"ru";"sv"),=GOOGLETRANSLATE(B5;"ru";"cs"),=GOOGLETRANSLATE(B5;"ru";"sk"),=GOOGLETRANSLATE(B5;"ru";"fi"),=GOOGLETRANSLATE(B5;"ru";"it"),=GOOGLETRANSLATE(B5;"ru";"de"),=GOOGLETRANSLATE(B5;"ru";"fr")
exercises.items.27.instructions.3,"Выполняйте круговые движения головой",=GOOGLETRANSLATE(B6;"ru";"pl"),=GOOGLETRANSLATE(B6;"ru";"sv"),=GOOGLETRANSLATE(B6;"ru";"cs"),=GOOGLETRANSLATE(B6;"ru";"sk"),=GOOGLETRANSLATE(B6;"ru";"fi"),=GOOGLETRANSLATE(B6;"ru";"it"),=GOOGLETRANSLATE(B6;"ru";"de"),=GOOGLETRANSLATE(B6;"ru";"fr")
exercises.items.27.instructions.4,"Держите плечи расслабленными",=GOOGLETRANSLATE(B7;"ru";"pl"),=GOOGLETRANSLATE(B7;"ru";"sv"),=GOOGLETRANSLATE(B7;"ru";"cs"),=GOOGLETRANSLATE(B7;"ru";"sk"),=GOOGLETRANSLATE(B7;"ru";"fi"),=GOOGLETRANSLATE(B7;"ru";"it"),=GOOGLETRANSLATE(B7;"ru";"de"),=GOOGLETRANSLATE(B7;"ru";"fr")
exercises.items.27.tips.0,"Двигайтесь медленно и плавно",=GOOGLETRANSLATE(B8;"ru";"pl"),=GOOGLETRANSLATE(B8;"ru";"sv"),=GOOGLETRANSLATE(B8;"ru";"cs"),=GOOGLETRANSLATE(B8;"ru";"sk"),=GOOGLETRANSLATE(B8;"ru";"fi"),=GOOGLETRANSLATE(B8;"ru";"it"),=GOOGLETRANSLATE(B8;"ru";"de"),=GOOGLETRANSLATE(B8;"ru";"fr")
exercises.items.27.tips.1,"Не делайте резких движений",=GOOGLETRANSLATE(B9;"ru";"pl"),=GOOGLETRANSLATE(B9;"ru";"sv"),=GOOGLETRANSLATE(B9;"ru";"cs"),=GOOGLETRANSLATE(B9;"ru";"sk"),=GOOGLETRANSLATE(B9;"ru";"fi"),=GOOGLETRANSLATE(B9;"ru";"it"),=GOOGLETRANSLATE(B9;"ru";"de"),=GOOGLETRANSLATE(B9;"ru";"fr")
exercises.items.27.tips.2,"При появлении боли остановитесь",=GOOGLETRANSLATE(B10;"ru";"pl"),=GOOGLETRANSLATE(B10;"ru";"sv"),=GOOGLETRANSLATE(B10;"ru";"cs"),=GOOGLETRANSLATE(B10;"ru";"sk"),=GOOGLETRANSLATE(B10;"ru";"fi"),=GOOGLETRANSLATE(B10;"ru";"it"),=GOOGLETRANSLATE(B10;"ru";"de"),=GOOGLETRANSLATE(B10;"ru";"fr")
exercises.items.27.tips.3,"Дышите глубоко и равномерно",=GOOGLETRANSLATE(B11;"ru";"pl"),=GOOGLETRANSLATE(B11;"ru";"sv"),=GOOGLETRANSLATE(B11;"ru";"cs"),=GOOGLETRANSLATE(B11;"ru";"sk"),=GOOGLETRANSLATE(B11;"ru";"fi"),=GOOGLETRANSLATE(B11;"ru";"it"),=GOOGLETRANSLATE(B11;"ru";"de"),=GOOGLETRANSLATE(B11;"ru";"fr")

exercises.items.28.title,"Разминка запястий",=GOOGLETRANSLATE(B13;"ru";"pl"),=GOOGLETRANSLATE(B13;"ru";"sv"),=GOOGLETRANSLATE(B13;"ru";"cs"),=GOOGLETRANSLATE(B13;"ru";"sk"),=GOOGLETRANSLATE(B13;"ru";"fi"),=GOOGLETRANSLATE(B13;"ru";"it"),=GOOGLETRANSLATE(B13;"ru";"de"),=GOOGLETRANSLATE(B13;"ru";"fr")
exercises.items.28.instructions.0,"Вытяните руки перед собой",=GOOGLETRANSLATE(B14;"ru";"pl"),=GOOGLETRANSLATE(B14;"ru";"sv"),=GOOGLETRANSLATE(B14;"ru";"cs"),=GOOGLETRANSLATE(B14;"ru";"sk"),=GOOGLETRANSLATE(B14;"ru";"fi"),=GOOGLETRANSLATE(B14;"ru";"it"),=GOOGLETRANSLATE(B14;"ru";"de"),=GOOGLETRANSLATE(B14;"ru";"fr")
exercises.items.28.instructions.1,"Согните запястья вверх и вниз",=GOOGLETRANSLATE(B15;"ru";"pl"),=GOOGLETRANSLATE(B15;"ru";"sv"),=GOOGLETRANSLATE(B15;"ru";"cs"),=GOOGLETRANSLATE(B15;"ru";"sk"),=GOOGLETRANSLATE(B15;"ru";"fi"),=GOOGLETRANSLATE(B15;"ru";"it"),=GOOGLETRANSLATE(B15;"ru";"de"),=GOOGLETRANSLATE(B15;"ru";"fr")
exercises.items.28.instructions.2,"Поворачивайте запястья по кругу",=GOOGLETRANSLATE(B16;"ru";"pl"),=GOOGLETRANSLATE(B16;"ru";"sv"),=GOOGLETRANSLATE(B16;"ru";"cs"),=GOOGLETRANSLATE(B16;"ru";"sk"),=GOOGLETRANSLATE(B16;"ru";"fi"),=GOOGLETRANSLATE(B16;"ru";"it"),=GOOGLETRANSLATE(B16;"ru";"de"),=GOOGLETRANSLATE(B16;"ru";"fr")
exercises.items.28.instructions.3,"Сжимайте и разжимайте кулаки",=GOOGLETRANSLATE(B17;"ru";"pl"),=GOOGLETRANSLATE(B17;"ru";"sv"),=GOOGLETRANSLATE(B17;"ru";"cs"),=GOOGLETRANSLATE(B17;"ru";"sk"),=GOOGLETRANSLATE(B17;"ru";"fi"),=GOOGLETRANSLATE(B17;"ru";"it"),=GOOGLETRANSLATE(B17;"ru";"de"),=GOOGLETRANSLATE(B17;"ru";"fr")
