KEY,RUSSIAN
exercises.items.27.title,"Разминка шеи"
exercises.items.27.instructions.0,"Встаньте прямо, ноги на ширине плеч"
exercises.items.27.instructions.1,"Медленно поворачивайте голову влево и вправо"
exercises.items.27.instructions.2,"Наклоняйте голову вперед и назад"
exercises.items.27.instructions.3,"Выполняйте круговые движения головой"
exercises.items.27.instructions.4,"Держите плечи расслабленными"
exercises.items.27.tips.0,"Двигайтесь медленно и плавно"
exercises.items.27.tips.1,"Не делайте резких движений"
exercises.items.27.tips.2,"При появлении боли остановитесь"
exercises.items.27.tips.3,"Дышите глубоко и равномерно"

exercises.items.28.title,"Разминка запястий"
exercises.items.28.instructions.0,"Вытяните руки перед собой"
exercises.items.28.instructions.1,"Согните запястья вверх и вниз"
exercises.items.28.instructions.2,"Поворачивайте запястья по кругу"
exercises.items.28.instructions.3,"Сжимайте и разжимайте кулаки"
exercises.items.28.instructions.4,"Растягивайте пальцы в стороны"
exercises.items.28.tips.0,"Выполняйте движения медленно"
exercises.items.28.tips.1,"Не перенапрягайте суставы"
exercises.items.28.tips.2,"Следите за ощущениями в запястьях"
exercises.items.28.tips.3,"Повторяйте регулярно"

exercises.items.29.title,"Разминка коленей"
exercises.items.29.instructions.0,"Встаньте прямо, ноги на ширине плеч"
exercises.items.29.instructions.1,"Медленно сгибайте и разгибайте колени"
exercises.items.29.instructions.2,"Выполняйте круговые движения коленями"
exercises.items.29.instructions.3,"Делайте приседания с небольшой амплитудой"
exercises.items.29.instructions.4,"Растягивайте переднюю поверхность бедра"
exercises.items.29.tips.0,"Не делайте глубоких приседаний"
exercises.items.29.tips.1,"Двигайтесь плавно и контролируемо"
exercises.items.29.tips.2,"При боли в коленях уменьшите амплитуду"
exercises.items.29.tips.3,"Следите за правильной техникой"

exercises.items.30.title,"Разминка тазобедренных суставов"
exercises.items.30.instructions.0,"Встаньте прямо, ноги на ширине плеч"
exercises.items.30.instructions.1,"Поднимайте колено к груди"
exercises.items.30.instructions.2,"Отводите ногу в сторону и назад"
exercises.items.30.instructions.3,"Выполняйте круговые движения бедром"
exercises.items.30.instructions.4,"Делайте выпады с небольшой амплитудой"
exercises.items.30.tips.0,"Держите спину прямой"
exercises.items.30.tips.1,"Работайте в комфортной амплитуде"
