KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
common.save,Сохранить,,,,,,,,
common.cancel,Отмена,,,,,,,,
common.edit,Редактировать,,,,,,,,
common.delete,Удалить,,,,,,,,
common.add,Добавить,,,,,,,,
common.close,Закрыть,,,,,,,,
common.back,Назад,,,,,,,,
common.next,Далее,,,,,,,,
common.done,Готово,,,,,,,,
common.loading,Загрузка...,,,,,,,,
common.error,Ошибка,,,,,,,,
common.success,Успешно,,,,,,,,
common.yes,Да,,,,,,,,
common.no,Нет,,,,,,,,
common.ok,ОК,,,,,,,,
common.confirm,Подтвердить,,,,,,,,
common.deleteConfirm,Удаление,,,,,,,,
common.deletePhotoConfirm,"Вы уверены, что хотите удалить эту фотографию?",,,,,,,,
common.deleteTeamConfirm,"Вы уверены, что хотите удалить эту команду?",,,,,,,,
common.deletePastTeamConfirm,"Вы уверены, что хотите удалить эту команду из истории?",,,,,,,,
common.deleteAchievementConfirm,"Вы уверены, что хотите удалить это достижение?",,,,,,,,
common.deleteAllNotificationsConfirm,"Вы уверены, что хотите удалить все уведомления?",,,,,,,,
common.rejectRequestConfirm,"Вы уверены, что хотите отклонить этот запрос?",,,,,,,,
winger,Крайний нападающий,,,,,,,,
center,Центральный нападающий,,,,,,,,
defender,Защитник,,,,,,,,
goals,Голы,,,,,,,,
assists,Передачи,,,,,,,,
games,Игры,,,,,,,,
pullUps,Подтягивания,,,,,,,,
pushUps,Отжимания,,,,,,,,
plankTime,Планка (сек),,,,,,,,
sprint100m,100м (сек),,,,,,,,
longJump,Прыжок в длину (м),,,,,,,,
jumpRope,Скакалка (раз),,,,,,,,
justNow,только что,,,,,,,,
minutesAgo,{minutes} мин назад,,,,,,,,
hoursAgo,{hours} ч назад,,,,,,,,
daysAgo,{days} дн назад,,,,,,,,
photoNotification.added,добавил,,,,,,,,
photoNotification.onePhoto,новое фото,,,,,,,,
photoNotification.multiplePhotos,{count} новых фото,,,,,,,,
photoNotification.photo,фото,,,,,,,,
photoNotification.photos,фото,,,,,,,,
friendshipNotification.title,Новая дружба,,,,,,,,
friendshipNotification.message,{friend1Name} и {friend2Name} стали друзьями,,,,,,,,
friendshipNotification.became,стали друзьями,,,,,,,,
exerciseNotification.title,Упражнение выполнено,,,,,,,,
exerciseNotification.message,"{playerName} выполнил упражнение ""{exerciseName}""",,,,,,,,
exerciseNotification.completed,выполнил упражнение,,,,,,,,
exerciseNotification.exercise,Упражнение,,,,,,,,
giftNotification.title,Подарок от звезды,,,,,,,,
giftNotification.message,{playerName} получил {giftName} от {starName},,,,,,,,
giftNotification.received,получил,,,,,,,,
giftNotification.from,от,,,,,,,,
addPhoto,Добавить фотографию,,,,,,,,
selectPhotoSource,Выберите источник фотографии,,,,,,,,
gallery,Галерея,,,,,,,,
camera,Камера,,,,,,,,
cancel,Отмена,,,,,,,,
error,Ошибка,,,,,,,,
maxPhotosReached,Максимальное количество фотографий: 50,,,,,,,,
galleryPermissionRequired,Нужно разрешение для доступа к галерее,,,,,,,,
galleryError,Не удалось загрузить фото из галереи.,,,,,,,,
cameraNotSupported,Съемка фото не поддерживается в веб-версии. Используйте галерею.,,,,,,,,
cameraPermissionRequired,Нужно разрешение для доступа к камере,,,,,,,,
cameraError,Не удалось снять фото.,,,,,,,,
noPhotos,Нет фотографий,,,,,,,,
clickToAddPhoto,"Нажмите ""Добавить фотографию"" чтобы начать",,,,,,,,
maxPhotos,Максимум 50 фото,,,,,,,,
uploading,Загрузка...,,,,,,,,
